Question,Input,Question Mark,Final Input,Nicotine Amount,Tar Amount,Final Answer
What is the nicotine level of ,Lucky Strike Original Red, ?,What is the nicotine level of Lucky Strike Original Red ?,0.8,9.5,The nicotine and tar levels of Lucky Strike Original Redare as follows: nicotine: 0.8mg and tar: 9.5mg
What is the nicotine level of ,Lucky Strike Original Silver, ?,What is the nicotine level of Lucky Strike Original Silver ?,0.5,5.1,The nicotine and tar levels of Lucky Strike Original Silverare as follows: nicotine: 0.5mg and tar: 5.1mg
What is the nicotine level of ,Pall Mall Red, ?,What is the nicotine level of Pall Mall Red ?,1.05,11.6,The nicotine and tar levels of Pall Mall Redare as follows: nicotine: 1.05mg and tar: 11.6mg
What is the nicotine level of ,Pall Mall Blue, ?,What is the nicotine level of Pall Mall Blue ?,0.85,8.4,The nicotine and tar levels of Pall Mall Blueare as follows: nicotine: 0.85mg and tar: 8.4mg
What is the nicotine level of ,Pall Mall Amber, ?,What is the nicotine level of Pall Mall Amber ?,0.49,4.9,The nicotine and tar levels of Pall Mall Amberare as follows: nicotine: 0.49mg and tar: 4.9mg
What is the nicotine level of ,Pall Mall Green Menthol, ?,What is the nicotine level of Pall Mall Green Menthol ?,0.59,7.4,The nicotine and tar levels of Pall Mall Green Mentholare as follows: nicotine: 0.59mg and tar: 7.4mg
What is the nicotine level of ,Pall Mall Slims Red, ?,What is the nicotine level of Pall Mall Slims Red ?,0.83,10.1,The nicotine and tar levels of Pall Mall Slims Redare as follows: nicotine: 0.83mg and tar: 10.1mg
What is the nicotine level of ,Pall Mall Slims Blue, ?,What is the nicotine level of Pall Mall Slims Blue ?,0.74,8.8,The nicotine and tar levels of Pall Mall Slims Blueare as follows: nicotine: 0.74mg and tar: 8.8mg
What is the nicotine level of ,Pall Mall Slims Amber, ?,What is the nicotine level of Pall Mall Slims Amber ?,0.58,6.7,The nicotine and tar levels of Pall Mall Slims Amberare as follows: nicotine: 0.58mg and tar: 6.7mg
What is the nicotine level of ,Pall Mall Slims Silver, ?,What is the nicotine level of Pall Mall Slims Silver ?,0.3,3.1,The nicotine and tar levels of Pall Mall Slims Silverare as follows: nicotine: 0.3mg and tar: 3.1mg
What is the nicotine level of ,Pall Mall Slims Purple, ?,What is the nicotine level of Pall Mall Slims Purple ?,0.2,2,The nicotine and tar levels of Pall Mall Slims Purpleare as follows: nicotine: 0.2mg and tar: 2mg
What is the nicotine level of ,Pall Mall Slims Green Menthol, ?,What is the nicotine level of Pall Mall Slims Green Menthol ?,0.58,7,The nicotine and tar levels of Pall Mall Slims Green Mentholare as follows: nicotine: 0.58mg and tar: 7mg
What is the nicotine level of ,Rothmans King Size Filter, ?,What is the nicotine level of Rothmans King Size Filter ?,1.06,11.7,The nicotine and tar levels of Rothmans King Size Filterare as follows: nicotine: 1.06mg and tar: 11.7mg
What is the nicotine level of ,St Moritz Dunhill International Menthol, ?,What is the nicotine level of St Moritz Dunhill International Menthol ?,0.8,9.1,The nicotine and tar levels of St Moritz Dunhill International Mentholare as follows: nicotine: 0.8mg and tar: 9.1mg
What is the nicotine level of ,St Moritz Dunhill Chilled Menthol, ?,What is the nicotine level of St Moritz Dunhill Chilled Menthol ?,0.62,7.2,The nicotine and tar levels of St Moritz Dunhill Chilled Mentholare as follows: nicotine: 0.62mg and tar: 7.2mg
What is the nicotine level of ,St Moritz Dunhill Frosted Menthol, ?,What is the nicotine level of St Moritz Dunhill Frosted Menthol ?,0.33,3.7,The nicotine and tar levels of St Moritz Dunhill Frosted Mentholare as follows: nicotine: 0.33mg and tar: 3.7mg
What is the nicotine level of ,St Moritz Green Menthol, ?,What is the nicotine level of St Moritz Green Menthol ?,0.65,7.6,The nicotine and tar levels of St Moritz Green Mentholare as follows: nicotine: 0.65mg and tar: 7.6mg
What is the nicotine level of ,St Moritz White Menthol, ?,What is the nicotine level of St Moritz White Menthol ?,0.31,3.4,The nicotine and tar levels of St Moritz White Mentholare as follows: nicotine: 0.31mg and tar: 3.4mg
What is the nicotine level of ,State Express 555 Filter, ?,What is the nicotine level of State Express 555 Filter ?,1.1,10.8,The nicotine and tar levels of State Express 555 Filterare as follows: nicotine: 1.1mg and tar: 10.8mg
What is the nicotine level of ,Stradbroke Red, ?,What is the nicotine level of Stradbroke Red ?,0.9,11.7,The nicotine and tar levels of Stradbroke Redare as follows: nicotine: 0.9mg and tar: 11.7mg
What is the nicotine level of ,Stradbroke Orange, ?,What is the nicotine level of Stradbroke Orange ?,0.84,9.4,The nicotine and tar levels of Stradbroke Orangeare as follows: nicotine: 0.84mg and tar: 9.4mg
What is the nicotine level of ,Stradbroke Blue, ?,What is the nicotine level of Stradbroke Blue ?,0.66,7.1,The nicotine and tar levels of Stradbroke Blueare as follows: nicotine: 0.66mg and tar: 7.1mg
What is the nicotine level of ,Stradbroke Grey, ?,What is the nicotine level of Stradbroke Grey ?,0.32,2.9,The nicotine and tar levels of Stradbroke Greyare as follows: nicotine: 0.32mg and tar: 2.9mg
What is the nicotine level of ,Stradbroke Yellow, ?,What is the nicotine level of Stradbroke Yellow ?,0.2,1.7,The nicotine and tar levels of Stradbroke Yelloware as follows: nicotine: 0.2mg and tar: 1.7mg
What is the nicotine level of ,Stradbroke Menthol, ?,What is the nicotine level of Stradbroke Menthol ?,0.49,5.5,The nicotine and tar levels of Stradbroke Mentholare as follows: nicotine: 0.49mg and tar: 5.5mg
What is the nicotine level of ,Stradbroke Cool Menthol, ?,What is the nicotine level of Stradbroke Cool Menthol ?,0.27,2.8,The nicotine and tar levels of Stradbroke Cool Mentholare as follows: nicotine: 0.27mg and tar: 2.8mg
What is the nicotine level of ,Stradbroke Ultimate Menthol, ?,What is the nicotine level of Stradbroke Ultimate Menthol ?,0.16,1.8,The nicotine and tar levels of Stradbroke Ultimate Mentholare as follows: nicotine: 0.16mg and tar: 1.8mg
What is the nicotine level of ,Vougue Superslim Bleue, ?,What is the nicotine level of Vougue Superslim Bleue ?,0.6,6.2,The nicotine and tar levels of Vougue Superslim Bleueare as follows: nicotine: 0.6mg and tar: 6.2mg
What is the nicotine level of ,Vougue Superslim Menthe Menthol, ?,What is the nicotine level of Vougue Superslim Menthe Menthol ?,0.6,6.3,The nicotine and tar levels of Vougue Superslim Menthe Mentholare as follows: nicotine: 0.6mg and tar: 6.3mg
What is the nicotine level of ,Wills Smooth Flavour, ?,What is the nicotine level of Wills Smooth Flavour ?,0.61,6.5,The nicotine and tar levels of Wills Smooth Flavourare as follows: nicotine: 0.61mg and tar: 6.5mg
What is the nicotine level of ,Wills Fine Flavour, ?,What is the nicotine level of Wills Fine Flavour ?,0.35,3.3,The nicotine and tar levels of Wills Fine Flavourare as follows: nicotine: 0.35mg and tar: 3.3mg
What is the nicotine level of ,Winfield Red, ?,What is the nicotine level of Winfield Red ?,1.08,12.1,The nicotine and tar levels of Winfield Redare as follows: nicotine: 1.08mg and tar: 12.1mg
What is the nicotine level of ,Winfield Blue, ?,What is the nicotine level of Winfield Blue ?,0.86,9.1,The nicotine and tar levels of Winfield Blueare as follows: nicotine: 0.86mg and tar: 9.1mg
What is the nicotine level of ,Winfield Gold, ?,What is the nicotine level of Winfield Gold ?,0.73,7.3,The nicotine and tar levels of Winfield Goldare as follows: nicotine: 0.73mg and tar: 7.3mg
What is the nicotine level of ,Winfield Sky Blue, ?,What is the nicotine level of Winfield Sky Blue ?,0.49,4.8,The nicotine and tar levels of Winfield Sky Blueare as follows: nicotine: 0.49mg and tar: 4.8mg
What is the nicotine level of ,Winfield Grey, ?,What is the nicotine level of Winfield Grey ?,0.29,2.7,The nicotine and tar levels of Winfield Greyare as follows: nicotine: 0.29mg and tar: 2.7mg
What is the nicotine level of ,Winfield White, ?,What is the nicotine level of Winfield White ?,0.17,1.7,The nicotine and tar levels of Winfield Whiteare as follows: nicotine: 0.17mg and tar: 1.7mg
What is the nicotine level of ,Winfield Ultimate, ?,What is the nicotine level of Winfield Ultimate ?,0.07,0.8,The nicotine and tar levels of Winfield Ultimateare as follows: nicotine: 0.07mg and tar: 0.8mg
What is the nicotine level of ,Winfield Charcoal Blue, ?,What is the nicotine level of Winfield Charcoal Blue ?,1,9.9,The nicotine and tar levels of Winfield Charcoal Blueare as follows: nicotine: 1mg and tar: 9.9mg
What is the nicotine level of ,Winfield Charcoal Gold, ?,What is the nicotine level of Winfield Charcoal Gold ?,0.7,7.2,The nicotine and tar levels of Winfield Charcoal Goldare as follows: nicotine: 0.7mg and tar: 7.2mg
What is the nicotine level of ,Winfield Charcoal Sky Blue, ?,What is the nicotine level of Winfield Charcoal Sky Blue ?,0.5,4.5,The nicotine and tar levels of Winfield Charcoal Sky Blueare as follows: nicotine: 0.5mg and tar: 4.5mg
What is the nicotine level of ,Winfield Charcoal White, ?,What is the nicotine level of Winfield Charcoal White ?,0.2,1.9,The nicotine and tar levels of Winfield Charcoal Whiteare as follows: nicotine: 0.2mg and tar: 1.9mg
What is the nicotine level of ,Winfield Menthol, ?,What is the nicotine level of Winfield Menthol ?,0.59,7,The nicotine and tar levels of Winfield Mentholare as follows: nicotine: 0.59mg and tar: 7mg
What is the nicotine level of ,Winfield Cool Menthol, ?,What is the nicotine level of Winfield Cool Menthol ?,0.3,3.1,The nicotine and tar levels of Winfield Cool Mentholare as follows: nicotine: 0.3mg and tar: 3.1mg
What is the nicotine level of ,Alpine Filter Menthol King-Size Hard Pack 25's, ?,What is the nicotine level of Alpine Filter Menthol King-Size Hard Pack 25's ?,1.02,14.1,The nicotine and tar levels of Alpine Filter Menthol King-Size Hard Pack 25'sare as follows: nicotine: 1.02mg and tar: 14.1mg
What is the nicotine level of ,Alpine Rich Flavour Menthol King-Size Hard Pack 25's, ?,What is the nicotine level of Alpine Rich Flavour Menthol King-Size Hard Pack 25's ?,0.7,8.3,The nicotine and tar levels of Alpine Rich Flavour Menthol King-Size Hard Pack 25'sare as follows: nicotine: 0.7mg and tar: 8.3mg
What is the nicotine level of ,Alpine Original Flavour Menthol King-Size Hard Pack 25's, ?,What is the nicotine level of Alpine Original Flavour Menthol King-Size Hard Pack 25's ?,0.87,10.6,The nicotine and tar levels of Alpine Original Flavour Menthol King-Size Hard Pack 25'sare as follows: nicotine: 0.87mg and tar: 10.6mg
What is the nicotine level of ,Alpine Supreme Flavour Menthold King-Size Hard Pack 25's, ?,What is the nicotine level of Alpine Supreme Flavour Menthold King-Size Hard Pack 25's ?,0.09,0.9,The nicotine and tar levels of Alpine Supreme Flavour Menthold King-Size Hard Pack 25'sare as follows: nicotine: 0.09mg and tar: 0.9mg
What is the nicotine level of ,Alpine Fine Flavour Menthol King-Size Hard Pack 25's, ?,What is the nicotine level of Alpine Fine Flavour Menthol King-Size Hard Pack 25's ?,0.3,3.5,The nicotine and tar levels of Alpine Fine Flavour Menthol King-Size Hard Pack 25'sare as follows: nicotine: 0.3mg and tar: 3.5mg
What is the nicotine level of ,Alpine Finesse Flavour Menthol King-Size Hard Pack 25's, ?,What is the nicotine level of Alpine Finesse Flavour Menthol King-Size Hard Pack 25's ?,0.13,1.5,The nicotine and tar levels of Alpine Finesse Flavour Menthol King-Size Hard Pack 25'sare as follows: nicotine: 0.13mg and tar: 1.5mg
What is the nicotine level of ,Alpine Gold Cut King-Size Hard Pack 25's, ?,What is the nicotine level of Alpine Gold Cut King-Size Hard Pack 25's ?,0.67,7.3,The nicotine and tar levels of Alpine Gold Cut King-Size Hard Pack 25'sare as follows: nicotine: 0.67mg and tar: 7.3mg
What is the nicotine level of ,Choice Fine Flavour King-Size Hard Pack 25's, ?,What is the nicotine level of Choice Fine Flavour King-Size Hard Pack 25's ?,0.43,4.1,The nicotine and tar levels of Choice Fine Flavour King-Size Hard Pack 25'sare as follows: nicotine: 0.43mg and tar: 4.1mg
What is the nicotine level of ,Choice Original Flavour King-Size Hard Pack 25's, ?,What is the nicotine level of Choice Original Flavour King-Size Hard Pack 25's ?,0.98,10.3,The nicotine and tar levels of Choice Original Flavour King-Size Hard Pack 25'sare as follows: nicotine: 0.98mg and tar: 10.3mg
What is the nicotine level of ,Choice Rich Flavour King-Size Hard Pack 25's, ?,What is the nicotine level of Choice Rich Flavour King-Size Hard Pack 25's ?,0.71,7.4,The nicotine and tar levels of Choice Rich Flavour King-Size Hard Pack 25'sare as follows: nicotine: 0.71mg and tar: 7.4mg
What is the nicotine level of ,GT Blue King-Size Hard Pack, ?,What is the nicotine level of GT Blue King-Size Hard Pack ?,1.09,10.7,The nicotine and tar levels of GT Blue King-Size Hard Packare as follows: nicotine: 1.09mg and tar: 10.7mg
What is the nicotine level of ,GT Red King-Size Hard Pack, ?,What is the nicotine level of GT Red King-Size Hard Pack ?,1.12,11.5,The nicotine and tar levels of GT Red King-Size Hard Packare as follows: nicotine: 1.12mg and tar: 11.5mg
What is the nicotine level of ,GT Gold King-Size Hard Pack, ?,What is the nicotine level of GT Gold King-Size Hard Pack ?,0.72,7.1,The nicotine and tar levels of GT Gold King-Size Hard Packare as follows: nicotine: 0.72mg and tar: 7.1mg
What is the nicotine level of ,Longbeach Menthol King-Size Hard Pack 20's/30's/40's, ?,What is the nicotine level of Longbeach Menthol King-Size Hard Pack 20's/30's/40's ?,0.76,7.5,The nicotine and tar levels of Longbeach Menthol King-Size Hard Pack 20's/30's/40'sare as follows: nicotine: 0.76mg and tar: 7.5mg
What is the nicotine level of ,Longbeach Filter King-Size Hard Pack 30's/40's, ?,What is the nicotine level of Longbeach Filter King-Size Hard Pack 30's/40's ?,1.18,12.4,The nicotine and tar levels of Longbeach Filter King-Size Hard Pack 30's/40'sare as follows: nicotine: 1.18mg and tar: 12.4mg
What is the nicotine level of ,Longbeach Fresh Menthol King-Size Hard Pack 30's/40's, ?,What is the nicotine level of Longbeach Fresh Menthol King-Size Hard Pack 30's/40's ?,0.21,1.8,The nicotine and tar levels of Longbeach Fresh Menthol King-Size Hard Pack 30's/40'sare as follows: nicotine: 0.21mg and tar: 1.8mg
What is the nicotine level of ,Longbeach Original Flavour King-Size Hard Pack 20's/30's/40's, ?,What is the nicotine level of Longbeach Original Flavour King-Size Hard Pack 20's/30's/40's ?,1,10.2,The nicotine and tar levels of Longbeach Original Flavour King-Size Hard Pack 20's/30's/40'sare as follows: nicotine: 1mg and tar: 10.2mg
What is the nicotine level of ,Longbeach Select King-Size Hard Pack 30's/40's, ?,What is the nicotine level of Longbeach Select King-Size Hard Pack 30's/40's ?,0.14,1.15,The nicotine and tar levels of Longbeach Select King-Size Hard Pack 30's/40'sare as follows: nicotine: 0.14mg and tar: 1.15mg
What is the nicotine level of ,Longbeach Smooth Flavourt King-Size Hard Pack 40's, ?,What is the nicotine level of Longbeach Smooth Flavourt King-Size Hard Pack 40's ?,0.68,5.3,The nicotine and tar levels of Longbeach Smooth Flavourt King-Size Hard Pack 40'sare as follows: nicotine: 0.68mg and tar: 5.3mg
What is the nicotine level of ,Longbeach Rich Flavour King-Size Hard Pack 20's/30's/40's, ?,What is the nicotine level of Longbeach Rich Flavour King-Size Hard Pack 20's/30's/40's ?,0.74,7.4,The nicotine and tar levels of Longbeach Rich Flavour King-Size Hard Pack 20's/30's/40'sare as follows: nicotine: 0.74mg and tar: 7.4mg
What is the nicotine level of ,Longbeach Finesse King-Size Hard Pack 30's/40's, ?,What is the nicotine level of Longbeach Finesse King-Size Hard Pack 30's/40's ?,0.19,1.6,The nicotine and tar levels of Longbeach Finesse King-Size Hard Pack 30's/40'sare as follows: nicotine: 0.19mg and tar: 1.6mg
What is the nicotine level of ,Longbeach Fine Flavour King-Size Hard Pack 20's/30's/40's, ?,What is the nicotine level of Longbeach Fine Flavour King-Size Hard Pack 20's/30's/40's ?,0.43,3.7,The nicotine and tar levels of Longbeach Fine Flavour King-Size Hard Pack 20's/30's/40'sare as follows: nicotine: 0.43mg and tar: 3.7mg
What is the nicotine level of ,Marlboro (red pack) King-Size Soft Pack 20's, ?,What is the nicotine level of Marlboro (red pack) King-Size Soft Pack 20's ?,1.07,11.7,The nicotine and tar levels of Marlboro (red pack) King-Size Soft Pack 20'sare as follows: nicotine: 1.07mg and tar: 11.7mg
What is the nicotine level of ,Marlboro (red pack) King-Size Hard Pack 20's/25's, ?,What is the nicotine level of Marlboro (red pack) King-Size Hard Pack 20's/25's ?,1.07,11.7,The nicotine and tar levels of Marlboro (red pack) King-Size Hard Pack 20's/25'sare as follows: nicotine: 1.07mg and tar: 11.7mg
What is the nicotine level of ,Marlboro Menthol King-Size Hard Pack 20's, ?,What is the nicotine level of Marlboro Menthol King-Size Hard Pack 20's ?,0.4,4.7,The nicotine and tar levels of Marlboro Menthol King-Size Hard Pack 20'sare as follows: nicotine: 0.4mg and tar: 4.7mg
What is the nicotine level of ,Marlboro (gold pack) King-Size Soft Pack 20's, ?,What is the nicotine level of Marlboro (gold pack) King-Size Soft Pack 20's ?,0.72,7.6,The nicotine and tar levels of Marlboro (gold pack) King-Size Soft Pack 20'sare as follows: nicotine: 0.72mg and tar: 7.6mg
What is the nicotine level of ,Marlboro (gold pack) King-Size Hard Pack 20's/25's, ?,What is the nicotine level of Marlboro (gold pack) King-Size Hard Pack 20's/25's ?,0.72,7.6,The nicotine and tar levels of Marlboro (gold pack) King-Size Hard Pack 20's/25'sare as follows: nicotine: 0.72mg and tar: 7.6mg
What is the nicotine level of ,Peter Jackson Menthol King-Size Hard Pack 25's/30's, ?,What is the nicotine level of Peter Jackson Menthol King-Size Hard Pack 25's/30's ?,0.75,7.4,The nicotine and tar levels of Peter Jackson Menthol King-Size Hard Pack 25's/30'sare as follows: nicotine: 0.75mg and tar: 7.4mg
What is the nicotine level of ,Peter Jackson Original Flavour King-Size Hard Pack 20's/25's/30's, ?,What is the nicotine level of Peter Jackson Original Flavour King-Size Hard Pack 20's/25's/30's ?,1.11,11,The nicotine and tar levels of Peter Jackson Original Flavour King-Size Hard Pack 20's/25's/30'sare as follows: nicotine: 1.11mg and tar: 11mg
What is the nicotine level of ,Peter Jackson Select Blend Fine Flavour King-Size Hard Pack 25's, ?,What is the nicotine level of Peter Jackson Select Blend Fine Flavour King-Size Hard Pack 25's ?,0.33,2.7,The nicotine and tar levels of Peter Jackson Select Blend Fine Flavour King-Size Hard Pack 25'sare as follows: nicotine: 0.33mg and tar: 2.7mg
What is the nicotine level of ,Peter Jackson Select Blend Full Flavour King-Size Hard Pack 25's, ?,What is the nicotine level of Peter Jackson Select Blend Full Flavour King-Size Hard Pack 25's ?,0.84,8.2,The nicotine and tar levels of Peter Jackson Select Blend Full Flavour King-Size Hard Pack 25'sare as follows: nicotine: 0.84mg and tar: 8.2mg
What is the nicotine level of ,Peter Jackson Select Blend Rich Flavour King-Size Hard Pack 25's, ?,What is the nicotine level of Peter Jackson Select Blend Rich Flavour King-Size Hard Pack 25's ?,1.15,11.6,The nicotine and tar levels of Peter Jackson Select Blend Rich Flavour King-Size Hard Pack 25'sare as follows: nicotine: 1.15mg and tar: 11.6mg
What is the nicotine level of ,Peter Jackson Select Blend Smooth Flavour King-Size Hard Pack 25's, ?,What is the nicotine level of Peter Jackson Select Blend Smooth Flavour King-Size Hard Pack 25's ?,0.55,5.2,The nicotine and tar levels of Peter Jackson Select Blend Smooth Flavour King-Size Hard Pack 25'sare as follows: nicotine: 0.55mg and tar: 5.2mg
What is the nicotine level of ,Peter Jackson Supreme Flavour King-Size Hard Pack 20's/25's/30's, ?,What is the nicotine level of Peter Jackson Supreme Flavour King-Size Hard Pack 20's/25's/30's ?,0.13,1.2,The nicotine and tar levels of Peter Jackson Supreme Flavour King-Size Hard Pack 20's/25's/30'sare as follows: nicotine: 0.13mg and tar: 1.2mg
